year,month,adm1,lc_class,lc_name,ndvi,temp_c,soil_moisture,precip_mm
2019.0,7.0,Bremen,4,other,0.4739028465715822,18.774618784049416,0.2686303474014207,48.6796797932071
2019.0,7.0,Hamburg,1,forest,0.6510572073524665,18.47047895302509,0.21788934201387508,57.87376467947497
2019.0,7.0,Hamburg,2,cropland,0.6250066163540443,18.581899787354544,0.2991755262702299,60.47861720269323
2019.0,7.0,Hamburg,3,grassland,0.658774304292247,18.564592730508185,0.27582909983393566,57.8665498669441
2019.0,7.0,Hamburg,4,other,0.4364150595882991,18.563681304967034,0.2586209008568327,56.49234807263051
2019.0,7.0,Hessen,1,forest,0.7603586643886282,19.40219210404628,0.2302762672304997,48.15631946542315
2019.0,7.0,Hessen,2,cropland,0.5940016814709606,19.58741045337063,0.22894693349996453,45.877172568636
2019.0,7.0,Hessen,3,grassland,0.6604388591583962,19.173016687822184,0.23406059260995357,49.071909557756285
2019.0,7.0,Hessen,4,other,0.5345232930344613,20.45342453399106,0.22013504785057614,46.37285006943485
2019.0,7.0,Mecklenburg-Vorpommern,1,forest,0.7107650297101272,18.658262117307604,0.20573794402782195,54.92558553990962
2019.0,7.0,Mecklenburg-Vorpommern,2,cropland,0.5682274101491858,18.583856675992457,0.21324346098169705,54.19324703278964
2019.0,7.0,Mecklenburg-Vorpommern,3,grassland,0.6307817169112007,18.64791323760441,0.2093757660040554,54.295922304536155
2019.0,7.0,Mecklenburg-Vorpommern,4,other,0.549917963212656,18.58725711837372,0.2198747348691341,55.1373209716612
2019.0,7.0,Niedersachsen,1,forest,0.7281115023069807,18.976687960896353,0.2180227759770266,49.315106974412025
2019.0,7.0,Niedersachsen,2,cropland,0.6460642866911497,19.087269481115055,0.2330181339406682,49.1679456523638
2019.0,7.0,Niedersachsen,3,grassland,0.688568253222864,18.756059380754188,0.28018947600469263,51.50324469890118
2019.0,7.0,Niedersachsen,4,other,0.5688520505482254,19.040715880136023,0.25492618108348203,48.18972671910472
2019.0,7.0,Nordrhein-Westfalen,1,forest,0.7087283607221119,19.07931438572467,0.20926901268517448,52.85110922832962
2019.0,7.0,Nordrhein-Westfalen,2,cropland,0.6043323926386869,19.6241387944025,0.19297789693023712,48.986853325949376
2019.0,7.0,Nordrhein-Westfalen,3,grassland,0.6555615921058944,19.115225971195258,0.20743515113217367,53.05172664109846
2019.0,7.0,Nordrhein-Westfalen,4,other,0.5264574356496448,19.7762432331782,0.20366304070251137,50.72983454605556
2019.0,7.0,Rheinland-Pfalz,1,forest,0.7517443802943532,19.654474120159648,0.21652399509983908,57.4053850748134
2019.0,7.0,Rheinland-Pfalz,2,cropland,0.5670004381171665,20.241262180989782,0.21830360186435346,56.449358466643886
2019.0,7.0,Rheinland-Pfalz,3,grassland,0.6269843063301291,19.691585267173455,0.21793893852306556,57.84571992012552
2019.0,7.0,Rheinland-Pfalz,4,other,0.5338964982469129,20.7178060933298,0.22904554112550635,54.94003913817292
2019.0,7.0,Saarland,1,forest,0.7308054358253372,20.348186681159646,0.20165992869151605,36.45654892025818
2019.0,7.0,Saarland,2,cropland,0.5967407053228839,20.46287915606983,0.19801701466737015,36.18682796011011
2019.0,7.0,Saarland,3,grassland,0.6454881924550658,20.296155709504216,0.2022428377602115,36.26914806364238
2019.0,7.0,Saarland,4,other,0.5691097170385229,20.643620204890077,0.19499524279832908,34.824350640495034
2019.0,7.0,Sachsen,1,forest,0.6904624248604081,19.301040867012198,0.2174258789377837,51.671685214077385
2019.0,7.0,Sachsen,2,cropland,0.5347276168124221,19.734675151041877,0.21772809075211422,49.52290327018526
2019.0,7.0,Sachsen,3,grassland,0.5951837761028484,19.25191193216152,0.22000201813388817,51.54093733632858
2019.0,7.0,Sachsen,4,other,0.5039160305265288,19.967576662334533,0.2100912468542238,49.21736165674315
2019.0,7.0,Sachsen-Anhalt,1,forest,0.6732935367186523,19.789275323232303,0.24328753879542453,52.79435891374104
2019.0,7.0,Sachsen-Anhalt,2,cropland,0.49373772892326334,20.005134436760834,0.23823645407992444,50.22952693016654
2019.0,7.0,Sachsen-Anhalt,3,grassland,0.5580389490058502,19.996468141484687,0.255664037410961,55.56451792855315
2019.0,7.0,Sachsen-Anhalt,4,other,0.47618153471671765,20.148941853784837,0.23915672967515422,48.6384768746854
2019.0,7.0,Schleswig-Holstein,1,forest,0.7291760421962602,17.96655877987476,0.19446676699824092,70.73924102202088
2019.0,7.0,Schleswig-Holstein,2,cropland,0.6673608053725928,17.826680940703707,0.2048794280849746,70.97857336707686
2019.0,7.0,Schleswig-Holstein,3,grassland,0.7175309184704428,17.791759961270696,0.19118536871303796,68.03745653803294
2019.0,7.0,Schleswig-Holstein,4,other,0.5842799880004387,17.848844735883343,0.20584274588459142,71.03107611478275
2019.0,7.0,Thueringen,1,forest,0.7382824265429063,18.716407158003083,0.2281699517744352,41.49233582119933
2019.0,7.0,Thueringen,2,cropland,0.5521683568127074,19.247651414999478,0.20768231068034038,35.9598953618193
2019.0,7.0,Thueringen,3,grassland,0.6168274789059773,18.86793095469264,0.22420693091658647,40.14850263644081
2019.0,7.0,Thueringen,4,other,0.5293701710351928,19.14367620885218,0.21103475929286236,37.436157128623364
2019.0,8.0,Baden-Wuerttemberg,1,forest,0.7874913097627284,19.109473032850758,0.3588334685489929,95.56138513107976
2019.0,8.0,Baden-Wuerttemberg,2,cropland,0.6362724013585693,19.551928761753263,0.35772316176053975,89.64532666962565
2019.0,8.0,Baden-Wuerttemberg,3,grassland,0.7411655883895136,18.94235805186312,0.3751835311326509,104.79750185484912
2019.0,8.0,Baden-Wuerttemberg,4,other,0.593666513908512,19.883323464214463,0.34591262984929333,90.43541424295533
2019.0,8.0,Bayern,1,forest,0.7487285645277514,18.780136753588415,0.3415362515571644,106.55562261210989
2019.0,8.0,Bayern,2,cropland,0.6222100841668554,19.47714836322749,0.35019393582796976,93.97827469233957
2019.0,8.0,Bayern,3,grassland,0.7257414989483156,18.568919744761125,0.35857491229468286,118.81001097748589
2019.0,8.0,Bayern,4,other,0.5875788837962724,19.142643253693638,0.34993766973822005,105.42241461951873
2019.0,8.0,Berlin,1,forest,0.6464988034821415,21.307473267947202,0.24965055583003268,47.78382642019578
2019.0,8.0,Berlin,2,cropland,0.5905722049689441,21.18253829654747,0.24924201225591663,46.09535106427149
2019.0,8.0,Berlin,3,grassland,0.5808603272333392,21.21553461473376,0.2482980192123595,46.520922991703465
2019.0,8.0,Berlin,4,other,0.48934819621583736,21.35019264767325,0.24285458404649618,47.436741199582
2019.0,8.0,Brandenburg,1,forest,0.6914866595293357,21.063398979510755,0.2849151206944928,48.75851612487166
2019.0,8.0,Brandenburg,2,cropland,0.50839030116578,20.921298234281643,0.2891187846111611,50.071410219175505
2019.0,8.0,Brandenburg,3,grassland,0.6122994180563407,21.000725015517396,0.3057258863683442,48.93077188441754
2019.0,8.0,Brandenburg,4,other,0.5607634450365481,21.10746814768346,0.29032820200598264,47.90616340740012
2019.0,8.0,Bremen,1,forest,0.6441606066842285,19.473407724283604,0.3332390068900473,86.539388099957
2019.0,8.0,Bremen,2,cropland,0.4993863727723437,19.652161786070877,0.31351047696139484,83.47881718735447
2019.0,8.0,Bremen,3,grassland,0.6766290302968895,19.50194222945718,0.3239863929531873,85.61782169509381
2019.0,8.0,Bremen,4,other,0.48635209166318516,19.43435028149121,0.32197751297315785,88.14346867805912
2019.0,8.0,Hamburg,1,forest,0.6570801800380115,19.251189534148537,0.29374240100454446,82.08519307577984
2019.0,8.0,Hamburg,2,cropland,0.6122597010550996,19.39413456724402,0.3733565933510917,80.84979006843648
2019.0,8.0,Hamburg,3,grassland,0.6731204803579334,19.358100856515897,0.3506732092169402,82.5050686605749
2019.0,8.0,Hamburg,4,other,0.44160194585572243,19.326152990365625,0.33491320065231656,83.29055037140097
2019.0,8.0,Hessen,1,forest,0.7612736806791529,19.422981437048463,0.2792853393054482,63.58249953448715
2019.0,8.0,Hessen,2,cropland,0.550233704412701,19.67365071689899,0.27607110031294646,62.14222050355997
2019.0,8.0,Hessen,3,grassland,0.6735967404148552,19.250309783175428,0.28232630186337715,64.38348086331737
2019.0,8.0,Hessen,4,other,0.5350081271780739,20.240086977851583,0.26955221019607795,60.683757588169804
2019.0,8.0,Mecklenburg-Vorpommern,1,forest,0.7021340711891557,19.743340687148574,0.27077683696858257,58.73569043395157
2019.0,8.0,Mecklenburg-Vorpommern,2,cropland,0.5015185539186224,19.647583268087498,0.28002405603180713,60.45886745783597
2019.0,8.0,Mecklenburg-Vorpommern,3,grassland,0.6223797373878823,19.730546263027556,0.2749651973661049,59.7333518007038
2019.0,8.0,Mecklenburg-Vorpommern,4,other,0.553224943668594,19.70446869881298,0.2818736328422257,58.51323760400426
2019.0,8.0,Niedersachsen,1,forest,0.7172137737789255,19.643143562582463,0.26320800324612703,66.07899659984392
2019.0,8.0,Niedersachsen,2,cropland,0.5961996864680131,19.722528759430375,0.27839087202734314,67.29167591674032
2019.0,8.0,Niedersachsen,3,grassland,0.6853389679143359,19.361237588734426,0.3317402232657229,78.7369645418877
2019.0,8.0,Niedersachsen,4,other,0.5579407527038321,19.679769689848545,0.2985940000640515,67.4393658991337
2019.0,8.0,Nordrhein-Westfalen,1,forest,0.7030254155733848,19.110119216078722,0.26158655935508707,77.98756058502799
